Timestamp,Cycle,Cabinet,Unit_ID,Event_Type,Status,Value,Response_Time_ms,Temperature_C,Details
2026-02-16 10:15:28,0,SYSTEM,,PROGRAM_START,INFO,,,,Total Cabinets: 10
2026-02-16 10:15:28,1,SYSTEM,,CYCLE_START,INFO,,,,Testing 10 cabinets
2026-02-16 10:15:28,1,Cabinet 1,,CONNECTION_START,ATTEMPTING,,,,IP: 192.168.0.80:502
2026-02-16 10:15:28,1,Cabinet 1,,CONNECTION,SUCCESS,,,,Attempt 1/2
2026-02-16 10:15:28,1,Cabinet 1,11,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",24.60,,
2026-02-16 10:15:28,1,Cabinet 1,11,TEMPERATURE_READ,SUCCESS,,156.36,54.10,
2026-02-16 10:15:28,1,Cabinet 1,12,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",147.20,,
2026-02-16 10:15:29,1,Cabinet 1,12,TEMPERATURE_READ,SUCCESS,,105.03,54.39,
2026-02-16 10:15:29,1,Cabinet 1,13,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",69.49,,
2026-02-16 10:15:29,1,Cabinet 1,13,TEMPERATURE_READ,SUCCESS,,113.67,54.52,
2026-02-16 10:15:29,1,Cabinet 1,14,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",67.43,,
2026-02-16 10:15:29,1,Cabinet 1,14,TEMPERATURE_READ,SUCCESS,,115.43,54.20,
2026-02-16 10:15:29,1,Cabinet 1,15,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",66.76,,
2026-02-16 10:15:29,1,Cabinet 1,15,TEMPERATURE_READ,SUCCESS,,117.75,53.86,
2026-02-16 10:15:29,1,Cabinet 1,16,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",65.92,,
2026-02-16 10:15:30,1,Cabinet 1,16,TEMPERATURE_READ,SUCCESS,,113.46,54.00,
2026-02-16 10:15:30,1,Cabinet 1,17,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",65.70,,
2026-02-16 10:15:30,1,Cabinet 1,17,TEMPERATURE_READ,SUCCESS,,115.29,53.45,
2026-02-16 10:15:30,1,Cabinet 1,18,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",68.30,,
2026-02-16 10:15:30,1,Cabinet 1,18,TEMPERATURE_READ,SUCCESS,,114.79,55.30,
2026-02-16 10:15:39,1,Cabinet 1,21,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",6036.58,,
2026-02-16 10:15:39,1,Cabinet 1,21,TEMPERATURE_READ,SUCCESS,,248.81,54.73,
2026-02-16 10:15:40,1,Cabinet 1,22,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",270.14,,
2026-02-16 10:15:40,1,Cabinet 1,22,TEMPERATURE_READ,SUCCESS,,290.86,54.32,
2026-02-16 10:15:40,1,Cabinet 1,23,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",152.57,,
2026-02-16 10:15:40,1,Cabinet 1,23,TEMPERATURE_READ,SUCCESS,,101.65,54.59,
2026-02-16 10:15:40,1,Cabinet 1,24,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",153.51,,
2026-02-16 10:15:41,1,Cabinet 1,24,TEMPERATURE_READ,SUCCESS,,205.56,54.06,
2026-02-16 10:15:41,1,Cabinet 1,25,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",151.14,,
2026-02-16 10:15:41,1,Cabinet 1,25,TEMPERATURE_READ,SUCCESS,,202.93,53.99,
2026-02-16 10:15:41,1,Cabinet 1,26,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",358.50,,
2026-02-16 10:15:42,1,Cabinet 1,26,TEMPERATURE_READ,SUCCESS,,255.24,53.94,
2026-02-16 10:15:42,1,Cabinet 1,27,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",321.75,,
2026-02-16 10:15:42,1,Cabinet 1,27,TEMPERATURE_READ,SUCCESS,,291.68,53.90,
2026-02-16 10:15:43,1,Cabinet 1,28,WRITE_COILS,SUCCESS,"[True, True, True, True, True, True, True, True]",254.25,,
2026-02-16 10:15:43,1,Cabinet 1,28,TEMPERATURE_READ,SUCCESS,,305.47,54.70,
2026-02-16 10:15:45,1,Cabinet 1,,CONNECTION,CLOSED,,,,
2026-02-16 10:15:45,1,SYSTEM,,PROGRAM_END,INFO,Cycles:1,,,"Runtime: 0:00:17.304157, Success: 0, Failed: 0"
2026-02-16 10:15:45,1,SYSTEM,,PROGRAM_TERMINATED,INFO,,,,
